Crop_Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,fertilizer_per_area,pesticide_per_area,production_per_area,Crop_Bajra,Crop_Barley,Crop_Dry chillies,Crop_Garlic,Crop_Gram,Crop_Groundnut,Crop_Horse-gram,Crop_Jowar,Crop_Linseed,Crop_Maize,Crop_Masoor,Crop_Moong(Green Gram),Crop_Moth,Crop_Oilseeds,Crop_Onion,Crop_Other  Rabi pulses,Crop_Other Cereals,Crop_Other Kharif pulses,Crop_Other Summer Pulses,Crop_Peas & beans (Pulses),Crop_Potato,Crop_Ragi,Crop_Rapeseed &Mustard,Crop_Rice,Crop_Sannhamp,Crop_Sesamum,Crop_Small millets,Crop_Soyabean,Crop_Sugarcane,Crop_Sunflower,Crop_Tobacco,Crop_Turmeric,Crop_Urad,Crop_Wheat,Crop_other oilseeds,Season_Rabi,Season_Summer,Season_Whole Year
-1.6222298259664054,-0.41153661685500154,-0.2288217584369693,-0.030788629127941364,-0.30978627540542597,-0.38095500396986964,0.39,-0.0911649763496619,-0.08940038269274428,-0.3224709841506101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.3886409829162372,-0.21911860950000644,-0.030788629127941364,-0.30322669527799123,-0.3663460517176923,6.19,-0.09105279276341395,-0.08910761611873454,0.1934131420991481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.6222298259664054,-0.4104425825332298,-0.22878915021620022,-0.030788629127941364,-0.3094728354799354,-0.3802569365910955,0.43,-0.09109034774472348,-0.08920562371131309,-0.318555627518662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,-0.33835494752395984,-0.22743811231244326,-0.030788629127941364,-0.2888197878593593,-0.3342601836451207,0.28,-0.09105081177812697,-0.08910244632255465,-0.3308378577926623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.3948888415731021,-0.227670776374147,-0.030788629127941364,-0.30501670159946737,-0.37033260518201705,1.01,-0.09105384596768662,-0.0891103646759607,-0.2662061525331743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,-0.25990082363016304,-0.22280510105344112,-0.030788629127941364,-0.2663427464555069,-0.28420118318170123,0.59,-0.09105033489391066,-0.08910120179327122,-0.3033966118248371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.36727436080067194,-0.22654711471250963,-0.030788629127941364,-0.29710517576931433,-0.3527127117057294,0.76,-0.09105140835866511,-0.08910400322446974,-0.2882279909859913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,-0.3292599634032072,-0.10694456744782593,-0.030788629127941364,-0.28621408245467883,-0.32845697290591386,22.0,-0.09105071022342458,-0.08910218129428013,1.5972779945337106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.32679509089511916,-0.09829369460811407,-0.030788629127941364,-0.285507898526164,-0.32688421869108536,22.88,-0.09105068642900227,-0.08910211919774946,1.6754814490787453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,1.2715495098041083,-0.08581355908619481,-0.030788629127941364,0.17241650346159632,0.6929669903469282,1.27,-0.09104992699843995,-0.0891001373045745,-0.24320693402547836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.2354102721861653,-0.2216743889656915,-0.030788629127941364,-0.2593262237860919,-0.268574566437576,0.61,-0.09105027274701595,-0.08910103960792787,-0.3021917018640748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,3.3516910084479026,0.2815030657220594,-0.030788629127941364,0.7683753169738216,2.0202369804566676,2.03,-0.09104990459023102,-0.08910007882565815,-0.17595322195047206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.37175594717901383,-0.22039561792958492,-0.030788629127941364,-0.29838914654843224,-0.35557226482359944,3.13,-0.09105157729368428,-0.08910444409579903,-0.07836979954635204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,-0.37652751855830724,-0.22844720454975684,-0.030788629127941364,-0.2997561977897284,-0.3586168478490964,0.16,-0.09105180390766716,-0.08910503549246951,-0.341483829121477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,0.5522680772166422,-0.15799405901672456,-0.030788629127941364,-0.03365703020218474,0.23401712537912875,1.1,-0.0910499572387208,-0.08910021622292358,-0.25846377907387147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
