Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Wheat,2013,Rabi       ,Uttarakhand,343637.0,848134.0,1735.4,49652110.13,92781.99,2.47
other oilseeds,2013,Kharif     ,Uttarakhand,61.0,36.0,1735.4,8813.89,16.47,0.59
other oilseeds,2013,Rabi       ,Uttarakhand,494.0,232.0,1735.4,71378.06,133.38,0.47
Arhar/Tur,2014,Kharif     ,Uttarakhand,3150.0,2854.0,1287.4,475524.0,1039.5,0.91
Bajra,2014,Kharif     ,Uttarakhand,2.0,2.0,1287.4,301.92,0.66,1.0
Barley,2014,Rabi       ,Uttarakhand,21054.0,24800.0,1287.4,3178311.84,6947.82,1.18
Garlic,2014,Kharif     ,Uttarakhand,2081.0,24774.0,1287.4,314147.76,686.73,11.9
Garlic,2014,Whole Year ,Uttarakhand,2926.0,20380.0,1287.4,441708.96,965.58,6.97
Gram,2014,Rabi       ,Uttarakhand,601.0,514.0,1287.4,90726.96,198.33,0.86
Groundnut,2014,Kharif     ,Uttarakhand,1185.0,1306.0,1287.4,178887.6,391.05,1.1
Horse-gram,2014,Kharif     ,Uttarakhand,12109.0,9783.0,1287.4,1827974.64,3995.97,0.81
Linseed,2014,Rabi       ,Uttarakhand,2.0,1.0,1287.4,301.92,0.66,0.5
Maize,2014,Kharif     ,Uttarakhand,23757.0,49135.0,1287.4,3586356.72,7839.81,2.07
Maize,2014,Summer     ,Uttarakhand,36.0,80.0,1287.4,5434.56,11.88,2.22
Masoor,2014,Rabi       ,Uttarakhand,10417.0,7352.0,1287.4,1572550.32,3437.61,0.71
Moong(Green Gram),2014,Kharif     ,Uttarakhand,17.0,10.0,1287.4,2566.32,5.61,0.59
Moong(Green Gram),2014,Summer     ,Uttarakhand,17.0,9.0,1287.4,2566.32,5.61,0.53
Moth,2014,Kharif     ,Uttarakhand,37.0,16.0,1287.4,5585.52,12.21,0.43
Onion,2014,Whole Year ,Uttarakhand,2825.0,14786.0,1287.4,426462.0,932.25,5.23
Other  Rabi pulses,2014,Rabi       ,Uttarakhand,6.0,5.0,1287.4,905.76,1.98,0.83
Other Cereals,2014,Kharif     ,Uttarakhand,1209.0,587.0,1287.4,182510.64,398.97,0.49
Other Cereals,2014,Rabi       ,Uttarakhand,603.0,530.0,1287.4,91028.88,198.99,0.88
Other Kharif pulses,2014,Kharif     ,Uttarakhand,12717.0,11859.0,1287.4,1919758.32,4196.61,0.93
Peas & beans (Pulses),2014,Rabi       ,Uttarakhand,5572.0,5393.0,1287.4,841149.12,1838.76,0.97
Potato,2014,Kharif     ,Uttarakhand,6561.0,70178.0,1287.4,990448.56,2165.13,10.7
Potato,2014,Rabi       ,Uttarakhand,5262.0,50495.0,1287.4,794351.52,1736.46,9.6
Ragi,2014,Kharif     ,Uttarakhand,107904.0,149033.0,1287.4,16289187.84,35608.32,1.38
Rapeseed &Mustard,2014,Rabi       ,Uttarakhand,14052.0,9963.0,1287.4,2121289.92,4637.16,0.71
Rice,2014,Kharif     ,Uttarakhand,247698.0,561856.0,1287.4,37392490.08,81740.34,2.27
Rice,2014,Summer     ,Uttarakhand,12394.0,39004.0,1287.4,1870998.24,4090.02,3.15
Sesamum,2014,Kharif     ,Uttarakhand,1540.0,408.0,1287.4,232478.4,508.2,0.26
Small millets,2014,Kharif     ,Uttarakhand,59534.0,78546.0,1287.4,8987252.64,19646.22,1.32
Soyabean,2014,Kharif     ,Uttarakhand,10772.0,14327.0,1287.4,1626141.12,3554.76,1.33
Sugarcane,2014,Whole Year ,Uttarakhand,100737.0,6108965.0,1287.4,15207257.52,33243.21,60.64
Sunflower,2014,Whole Year ,Uttarakhand,40.0,43.0,1287.4,6038.4,13.2,1.07
Tobacco,2014,Whole Year ,Uttarakhand,5.0,10.0,1287.4,754.8,1.65,2.0
Turmeric,2014,Whole Year ,Uttarakhand,903.0,1740.0,1287.4,136316.88,297.99,1.93
